2009-02-10 11:48:05 status unpacked libgegl 0.0.22
2009-02-10 11:48:05 status half-installed libgegl 0.0.22
2009-02-10 11:48:06 status half-installed libgegl 0.0.22
2009-02-10 11:48:06 status unpacked libgegl 0.0.22
2009-02-10 11:48:07 status unpacked libgegl 0.0.22
2009-02-10 11:48:07 configure libgegl 0.0.22 0.0.22
2009-02-10 11:48:07 status unpacked libgegl 0.0.22
2009-02-10 11:48:07 status half-configured libgegl 0.0.22
2009-02-10 11:48:07 status installed libgegl 0.0.22
2009-02-10 11:48:22 startup archives install
2009-02-10 11:48:22 upgrade gimp-painter 2.6.4 2.6.4
2009-02-10 11:48:22 status half-configured gimp-painter 2.6.4
2009-02-10 11:48:22 status unpacked gimp-painter 2.6.4
2009-02-10 11:48:22 status half-installed gimp-painter 2.6.4
2009-02-10 11:48:23 status half-installed gimp-painter 2.6.4
2009-02-10 11:48:23 status unpacked gimp-painter 2.6.4
2009-02-10 11:48:23 status unpacked gimp-painter 2.6.4
2009-02-10 11:48:23 configure gimp-painter 2.6.4 2.6.4
2009-02-10 11:48:23 status unpacked gimp-painter 2.6.4
2009-02-10 11:48:23 status half-configured gimp-painter 2.6.4
2009-02-10 11:48:23 status installed gimp-painter 2.6.4
2009-02-10 12:11:25 startup archives install
2009-02-10 12:11:25 upgrade gimp-painter 2.6.4 2.6.4
2009-02-10 12:11:25 status half-configured gimp-painter 2.6.4
2009-02-10 12:11:25 status unpacked gimp-painter 2.6.4
2009-02-10 12:11:25 status half-installed gimp-painter 2.6.4
2009-02-10 12:11:31 status triggers-pending man-db 2.5.2-2
2009-02-10 12:11:31 status half-installed gimp-painter 2.6.4
2009-02-10 12:11:34 status half-installed gimp-painter 2.6.4
2009-02-10 12:11:34 status unpacked gimp-painter 2.6.4
2009-02-10 12:11:34 status unpacked gimp-painter 2.6.4
2009-02-10 12:11:34 configure gimp-painter 2.6.4 2.6.4
2009-02-10 12:11:34 status unpacked gimp-painter 2.6.4
2009-02-10 12:11:34 status half-configured gimp-painter 2.6.4
2009-02-10 12:11:34 status triggers-awaited gimp-painter 2.6.4
2009-02-10 12:11:34 trigproc man-db 2.5.2-2 2.5.2-2
2009-02-10 12:11:34 status half-configured man-db 2.5.2-2
2009-02-10 12:11:34 status installed gimp-painter 2.6.4
2009-02-10 12:11:35 status installed man-db 2.5.2-2
2009-02-10 12:12:19 startup packages remove
2009-02-10 12:12:19 status installed gimp-painter 2.6.4
